census_no,school_name,school_address,province,district,zone,education_division,school_type,category
3001,ALUDENIYA M.V.,"ALUDENIYA, KANDY.",Central,21.Kandy,Katugastota,Hatharaliyadda,2.1C,provincial
3002,IDAMEGAMA M.M.V.,WERELLAGAMA.,Central,21.Kandy,Katugastota,Galagedara,2.1C,provincial
3003,UDUWA M.V.,"UDUWA, KANDY",Central,21.Kandy,Katugastota,Galagedara,2.1C,provincial
3005,GALABAWA M.V.,"GALABAWA, KAHAPATHWALA",Central,21.Kandy,Katugastota,Galagedara,2.1C,provincial
3006,GIRIHAGAMA M.V.,"GIRIHAGAMA, KUMBUREGAMA",Central,21.Kandy,Katugastota,Galagedara,2.1C,provincial
3007,DEDUNUPITIYA M.V.,"DEDUNUPITIYA, KANDY",Central,21.Kandy,Katugastota,Hatharaliyadda,2.1C,provincial
3008,MINIGAMUWA M.V.,MINIGAMUWA,Central,21.Kandy,Katugastota,Galagedara,2.1C,provincial
3009,SANGARAJAPURA M.V.,SANGARAJAPURA,Central,21.Kandy,Katugastota,Hatharaliyadda,2.1C,provincial
3012,ALAGALLA P.V.,"ALAGALLA, HATHARALIYADDA",Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3016,PELENA M.V.,"PELENA, HATHARALIYADDA",Central,21.Kandy,Katugastota,Hatharaliyadda,2.1C,provincial
3018,MEDAGAMA M.V.,"POHOLIYADDA, GALAGEDARA.",Central,21.Kandy,Katugastota,Galagedara,2.1C,provincial
3019,MURUDDENIYA M.V.,"MURUDDENIYA, SANGARAJAPURA",Central,21.Kandy,Katugastota,Hatharaliyadda,2.1C,provincial
3020,RANGAMUWA K.V.,"RANGAMUWA, HATHARALIYADDA",Central,21.Kandy,Katugastota,Hatharaliyadda,3.Type2,provincial
3021,WELIVITA SRI SANGARAJA K.V.,"WELIVITA, SANGRAJAPURA.",Central,21.Kandy,Katugastota,Hatharaliyadda,3.Type2,provincial
3022,ALAWATHTHEGAMA P.V.,"ALAWATHTHEGAMA, GALLELLAGAMA",Central,21.Kandy,Katugastota,Galagedara,4.Type3,provincial
3023,ILPEMADA P.V.,"MINIGAMUWA, GALAGEDARA.",Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3024,OPALLA P.V.,GALAGEDARA.,Central,21.Kandy,Katugastota,Galagedara,4.Type3,provincial
3026,KALOTUWAWA P.V.,"KALOTUWAWA, DEDUNUPITIYA",Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3027,KINIGAMA K.V.,"UDUWA, KANDY",Central,21.Kandy,Katugastota,Galagedara,3.Type2,provincial
3028,KOLUGALA K.V.,SANGHARAJAPURA,Central,21.Kandy,Katugastota,Hatharaliyadda,3.Type2,provincial
3029,GALAGEDARA P.V.,GALAGEDARA.,Central,21.Kandy,Katugastota,Galagedara,4.Type3,provincial
3032,GIRIHAGAMA P.V.,KUMBUREGAMA,Central,21.Kandy,Katugastota,Galagedara,4.Type3,provincial
3033,THANNEYAYA P.V.,"IHALAALAGALLA, HATHARALIYADDA",Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3034,DAMUNUPOLA P.V.,"DAMUNUPOLA, DEDUNUPITIYA",Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3035,PATTAPOLA P.V.,"PATTAPOLA, HATHARALIYADDA",Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3038,MEEGAHAHENA ASHOKA K.V.,"MEEGAHAHENA, KAHAPATHWALA",Central,21.Kandy,Katugastota,Galagedara,4.Type3,provincial
3039,YATALA P.V.,"YATALA, ALUDENIYA, KANDY",Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3040,WETTEWA K.V.,GALAGEDARA.,Central,21.Kandy,Katugastota,Galagedara,4.Type3,provincial
3042,HATHARALIYADDA P.V.,HATHARALIYADDA.,Central,21.Kandy,Katugastota,Hatharaliyadda,4.Type3,provincial
3043,HITHGODA WALPOLA P.V.,"WETHTHWA, GALAGEDARA.",Central,21.Kandy,Katugastota,Galagedara,4.Type3,provincial
3047,AMBATENNA PUSHPADANA M.V.,AMBATENNA,Central,21.Kandy,Katugastota,Poojapitiya,2.1C,provincial
3049,DUNUWILA RATHANAPALA M.V.,DUNUWILA AKURANA,Central,21.Kandy,Katugastota,Akurana,2.1C,provincial
3050,NALANDA M.M.V.,MARATHUGODA,Central,21.Kandy,Katugastota,Poojapitiya,2.1C,provincial
