census_no,school_name,school_address,province,district,zone,education_division,school_type,category
14001,KATHIRAVELY VIGNESVARA MAHA VIDYALAYAM,"TRINCO ROAD, KATHIRAVELY",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,1.1AB,provincial
14002,PALCHENAI G TAMIL MAHA VIDYALAYAM,"PALCHENAI, KATHIRAVELY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,2.1C,provincial
14003,KADDUMURIVUKULAM G.T.M.S.,"KADDUMURIVU, KATHIRAVELY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,2.1C,provincial
14004,VAMMIVADDAVAN VIDYALAYAM,"MAIN STREET, VAMMIVADDAVAN, KATHIRAVELY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14005,KANDALADY ARUNTHATHY VIDYALAYAM,VAKARAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,4.Type3,provincial
14006,VAKARAI MAHA VIDYALAYAM,VAKARAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,2.1C,provincial
14007,URIYANKADDU G.T.M.S.,"URIYANKADDU, VAHARAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,4.Type3,provincial
14008,PANICHANKERNY THIRUMAHAL VIDAYALAYAM,"TRINCO ROAD, PANICHANKERNY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14009,MANKERNY ROMAN CATHOLIC TAMIL MIXED SCHOOL,"TRINCO ROAD, MANKERNY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14010,KAYANKERNY SARASWATHY VIDYALAYAM,"KAYANKERNY, MANKERNY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,2.1C,provincial
14011,VADDAVAN KALAIMAGAL VIDYALAYAM,VALAICHENAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14012,ALANKULAM G.T.M.S.,"ALANKULAM, VALAICHENAI.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14013,PUNANAI G.T.M.S.,PUNANAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14014,MEERAVODAI AMEER ALI VIDYALAYAM,MEERAVODAI,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,4.Type3,provincial
14015,VAHANERY KOKULAM VIDYALAYAM,VAHANERY,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14016,KAWATHAMUNAI AL AMEEN VIDYALAYA,VAHANERY,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,2.1C,provincial
14017,THIYAWATTAWAN ARAFA VIDYALAYAM,VAHANERY,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,2.1C,provincial
14019,SEMMANODAI AL-HAMRA VIDYALAYAM,"SEMMANODAI, MEERAVODAI",Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,2.1C,provincial
14020,MEERAVODAI AL-HIDAYA MAHA VIDYALAYAM,MEERAVODAI,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,1.1AB,provincial
14021,BRAINTHURAICHENAI AZHAR VIDYALAYA,"BRAINTHURAICHENAI, VALAICHENAI",Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,2.1C,provincial
14023,ODDAMAVADI HIJRA VIDYALAYAM,ODDAMAVADI - 03.,Eastern,51.Batticaloa,Batticaloa Central,Koralai Pattu West,4.Type3,provincial
14024,VEERANAGAR G.T.M.S.,UTHTHUCHENAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14025,MURAVODAISHAKTHI VIDYALAYAM,"MURAVODAI TAMIL, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14026,KINNAIYADY SARASWATHY VIDYALAYAM,"KINNAIYADY, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,2.1C,provincial
14027,SUNGANKERNY G.T.M.S.,"SUNGANKERNY, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,2.1C,provincial
14028,KALMADU VIVEKANANDA VIDYALAYAM,"KALMADU, KALKUDAH",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14029,KARUWAKERNY VIGNESWARA VIDYALAYAM,"KARUWAKERNY, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,1.1AB,provincial
14030,KALKUDAH NAMAGAL VIDYALAYAM,KALKUDAH,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,2.1C,provincial
14032,PETHALAI VIPULANANDA COLLEGE,"PETHALAI, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,1.1AB,provincial
14033,PUTHUKUDIYIRUPPU VANI VIDYALAYAM,"PUTHUKUDIYIRUPPU, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,2.1C,provincial
14034,NASIVANTHIVU SIVA VIDYALAYA,"NASIVANTHIVU, VALAICHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14035,VEMBU G.T.M.S.,"KUMPURUMOOLAI, VEMBU",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14036,KIRAN CENTRAL COLLEGE,KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,1.1AB,provincial
14037,KIRAN VIVEKANANDAH VIDYALAYA,"MAIN STREET, KIRAN",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14038,POOLAKKADU G.T.M.S.,POOLAKKADU KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14039,KORAKALLIMADU SRI RAMANAMAHARISHI VIDYALAYAM,KORAKALLIMADU KIRAN,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,2.1C,provincial
14040,SANTHIVELY SITHI VINAYAGAR VIDYALAYAM,"SANTHIVELY, MURAKODANCHENAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,1.1AB,provincial
14041,THIKILIWETTAI G.T.M.S.,SANTHIVELY MURAKKOTTANCHENAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,3.Type2,provincial
14042,PALAIYADYTHONA SRI MURUGAN VIDYALAYAM,SANTHIVELY,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
