census_no,school_name,school_address,province,district,zone,education_division,school_type,category
23,KOTAHENA M.M.V.,"MAHA VIDYALA MW, COLOMBO 13",1.Western,11.Colombo,Colombo,Colombo Central,1.1AB,national
45,COLOMBO ROYAL COLLEGE,COLOMBO 07,1.Western,11.Colombo,Colombo,Borella,1.1AB,national
46,COLOMBO ANANDA COLLEGE,COLOMBO 10,1.Western,11.Colombo,Colombo,Borella,1.1AB,national
47,COLOMBO NALANDA COLLEGE,COLOMBO 10,1.Western,11.Colombo,Colombo,Borella,1.1AB,national
48,COLOMBO THURSTAN COLLEGE,COLOMBO 07,1.Western,11.Colombo,Colombo,Borella,1.1AB,national
50,COLOMBO ANANDA B.V.,"REV. SUMANGALA NAHIMI MW, COLOMBO 10",1.Western,11.Colombo,Colombo,Borella,1.1AB,national
51,COLOMBO GOTHAMI B.V.,COLOMBO 10,1.Western,11.Colombo,Colombo,Borella,1.1AB,national
60,COLOMBO D.S.SENANAYAKE COLLEGE,COLOMBO 07,1.Western,11.Colombo,Colombo,Borella,1.1AB,national
66,COLOMBO DEVI B.V.,COLOMBO 08,1.Western,11.Colombo,Colombo,Colombo South,1.1AB,national
74,COLOMBO SIRIMAVO BANDARANAYAKE BALIKA VIDYALAYA,COLOMBO 07,1.Western,11.Colombo,Colombo,Colombo South,1.1AB,national
77,COLOMBO ISIPATHANA COLLEGE,COLOMBO-05,1.Western,11.Colombo,Colombo,Colombo South,1.1AB,national
78,COLOMBO LUMBINI VIDYALAYA,"HAVELOCK TOWN, COLOMBO 05",1.Western,11.Colombo,Colombo,Colombo South,1.1AB,national
79,COLOMBO MAHANAMA COLLEGE,COLOMBO 03,1.Western,11.Colombo,Colombo,Colombo South,1.1AB,national
80,MILAGIRIYA ST. PAUL'S GIRL'S SCHOOL,"MILAGIRIYA, COLOMBO 05",1.Western,11.Colombo,Colombo,Colombo South,1.1AB,national
81,COLOMBO VISAKHA V.,COLOMBO 05,1.Western,11.Colombo,Colombo,Colombo South,1.1AB,national
