census_no,school_name,school_address,province,district,zone,education_division,school_type,category
15149,RANKETHGAMA.P.V.,"RANKETHGAMA, SIRIPURA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,4.Type3,provincial
15151,SIRIPURA CENTRAL COLLEGE,"SIRIPURA, POLONNARUWA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,1.1AB,provincial
15154,MEDAGAMPITIYA P.V.,"MEDAGAMPITIYA, SIRIPURA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,4.Type3,provincial
15155,NAWAPALLEGAMA K.V.,PALLEGAMA SIRIPURA,North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,3.Type2,provincial
15158,PIHITIWAWA K.V.,"PIHITIWAWA, NUWARAGALA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,3.Type2,provincial
15159,MEEWATHPURA P.V.,"MEEWATHPURA, SIRIPURA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,4.Type3,provincial
15160,NUWARAGALA M.V.,"NUWARAGALA, POLONNARUWA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,2.1C,provincial
15357,WEHERAGALA M.V.,"RUHUNUGAMA, ARALAGANWILA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,1.1AB,provincial
15358,NIKAWATHALANDA M.V.,"MAHAWANAWELA, DEHIATHTHAKANDIYA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,2.1C,provincial
15359,KAJUWATHTHA P.V.,"KAJUWATHTHA, RUHUNUGAMA, ARALAGANWILA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
15360,ULPATHWEWA P.V.,"ULPATHWEWA, RUHUNUGAMA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
15365,KEKULUWELA K.V.,KEKULUWELA,North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,3.Type2,provincial
15367,IHALA YAKKURE K.V.,"IHALA YAKKURE, NUWARAGALA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,3.Type2,provincial
15369,GALELIYA P.V.,"RUHUNUGAMA, ARALAGANWILA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
15370,SANDAGALATENNA P.V.,"MAHAWANAWELA, DEHIATHTHAKANDIYA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
15371,WEERALANDA P.V.,"WEERALANDA, RUHUNUGAMA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
15378,MUDUNKADAWALA P.V.,SIRIPUARA,North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,4.Type3,provincial
15386,RATHMALKANDIYA P.V.,"RATHMALKANDIYA, SIRIPURA",North Central,72.Polonnaruwa,Dimbulagala,Dimbulagala,4.Type3,provincial
15387,KANICHCHIGALA P.V.,"KANICHCHIGALA, RUHUNUGAMA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
15402,MALDENIYA P.V.,"KEKULUWELA, ARALAGANWILA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
15403,SALASUMGAMA P.V.,"DOLAKANDA, DEHIATHTHAKANDIYA",North Central,72.Polonnaruwa,Dimbulagala,Aralaganwila,4.Type3,provincial
19002,RAMBEWA CENTRAL COLLEGE,RAMBEWA.,North Central,71.Anuradhapura,Anuradhapura,Rambewa,1.1AB,provincial
19003,KENDE KALLANCHIYA VIDYALAYA,KALLANCHIYA ANURADHAPURA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,2.1C,provincial
19004,VIJAYARAJA M.V.,"PIHIMBIYAGOLLEWA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Anuradhapura,Rambewa,2.1C,provincial
19005,MEDAWACHCHIYA ISIPATHANA M.V.,"POONEWA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,1.1AB,provincial
19006,KIRIGALWEWA MAHA VIDYALAYA,MEDAWACHCHIYA,North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,2.1C,provincial
19007,KONAKUMBUKWEWA VIDYALAYA,"KENEWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Rambewa,3.Type2,provincial
19008,ANGUNOCHCHIYA VIDYALAYA,"ANGUNOCHCHIYA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19009,SRI SOBHITHA MAHA VIDYALAYA,"KADAWATHGAMA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,2.1C,provincial
19010,KENDAWA MAHA VIDYALAYA,"KENDEWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Rambewa,2.1C,provincial
19011,SIRIDHAMMA VIDYALAYA,"KIDAWARANKULAMA, POONEWA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,4.Type3,provincial
19012,THAMMENNA ELAWAKA VIDYALAYA,NERIYAKULAMA,North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19013,THAMBALAGOLLEWA VIDYALAYA,"PIHIBIYAGOLLEWA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Anuradhapura,Rambewa,4.Type3,provincial
19014,NABADAGASWEWA VIDYALAYA,RAMBEWA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,4.Type3,provincial
19015,PALUGOLLEWA VIDYALAYA,PALUGOLLEWA POONEWA,North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19016,PAHALA GALKANDEGAMA VIDYALAYA,POONEWA,North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19017,PAHALARATHMALGAHAWEWA VIDYALAYA,"WAHAMALGOLLEWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Rambewa,3.Type2,provincial
19018,PULELIYA VIDYALAYA,MEDAWACHCHIYA,North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19019,MAHADIVULWEWA VIDYALAYA,"MAHADIVULWEWA, ETAWEERAGOLLEWA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19020,YAKAWEWA VIDYALAYA,"YAKAWEWA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19021,WALPOLA VIDYALAYA,MEDAWACHCHIYA,North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,3.Type2,provincial
19022,SANGILIKANDARAWA VIDYALAYA,MEDEWACHCHIYA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,2.1C,provincial
19023,EHALA THAMMENNAWA VIDYALAYA,"EHALA THAMMENNAWA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,4.Type3,provincial
19024,URAPEENUWEWA VIDYALAYA,URAPEENUWEWA PIHIMBIYAGOLLEWA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,4.Type3,provincial
19025,KAPIRIGGAMA VIDYALAYA,KAPIRIGGAMA KALLANCHIYA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,4.Type3,provincial
19026,DARMADEEPA PRIMARY VIDYALAYA,"KARAPIKKADA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,4.Type3,provincial
19027,KARAMBANKULAMA VIDYALAYA,"KIRIGALWEWA, MEDAWACHCHIYA",North Central,71.Anuradhapura,Kebithigollewa,Medawachchiya,4.Type3,provincial
19028,KENDANEKATUNUWEWA VIDYALAYA,KENDENEKATUNUWEWA KAHATAGASDIGILIYA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,4.Type3,provincial
