census_no,school_name,school_address,province,district,zone,education_division,school_type,category
11120,RIZWAN GMM SCHOOL,"KARAMBE-B, PALAVI, PUTTALAM.",North Western,62.Puttalam,Puttalam,Kalpitiya,3.Type2,provincial
11121,ABDEEN GOVERNMENT MUSLIM MIX SCHOOL,THMPAPANNI PUTTALAM,North Western,62.Puttalam,Puttalam,Puttalam North,3.Type2,provincial
11122,ANSARI G.M.M.S.,UMARABATH THILLAYADY PUTTALAM,North Western,62.Puttalam,Puttalam,Puttalam North,3.Type2,provincial
11123,HASBAN G.M.M.S.,90 ACRE THALAVILA PUTTALAM,North Western,62.Puttalam,Puttalam,Kalpitiya,3.Type2,provincial
11124,IYOOB GMM SCHOOL,"AL-MANAAR, MANDALAKUDA, KALPITIYA.",North Western,62.Puttalam,Puttalam,Kalpitiya,3.Type2,provincial
11125,PALAVI RISHAD BATHIUDEEN .M.V.,"AL-QASSIMI CITY, PALAVI",North Western,62.Puttalam,Puttalam,Puttalam North,2.1C,provincial
17002,POTHUHERA DUTUGEMUNU M.M.V.,POTHUHERA,North Western,61.Kurunegala,Kurunegala,Polgahawela,1.1AB,provincial
17004,UDAPOLA SRI SUMANGALA MAHA VIDYALAYA,UDAPOLA POGAHAWELA,North Western,61.Kurunegala,Kurunegala,Polgahawela,3.Type2,provincial
17005,KALUGAMUWA MAHA VIDYALAYA,KALUGAMUWA,North Western,61.Kurunegala,Kurunegala,Polgahawela,2.1C,provincial
17006,GALLEHERA MAHA VIDYALAYA,LOKAHETTIYA,North Western,61.Kurunegala,Kurunegala,Polgahawela,3.Type2,provincial
17007,DENAGAMUWA MAHA VIDYALAYA,POLGAHAWELA,North Western,61.Kurunegala,Kurunegala,Polgahawela,3.Type2,provincial
17008,SRI SARANANKARA SANGARAJA MAHA VIDYALAYA,"MAHAPITIYA, POTHUHERA",North Western,61.Kurunegala,Kurunegala,Polgahawela,3.Type2,provincial
17009,SRI PIYARATHANA MAHA VIDYALAYA,"MUDUNNA, UHUMEEYA",North Western,61.Kurunegala,Kurunegala,Polgahawela,3.Type2,provincial
