census_no,school_name,school_address,province,district,zone,education_division,school_type,category
9001,DELFT MAHA VIDYALAYAM,"WARD NO-10,DELFT.",Northern,41.Jaffna,Islands,Delft,2.1C,provincial
9002,NAINATIVU MAHA VIDYALAYAM,WARD NO-05 NAINATIVU,Northern,41.Jaffna,Islands,Velanai,2.1C,provincial
9003,PUNGUDUTIVU Central College,WARD NO 11 PUNGUDUTIVU,Northern,41.Jaffna,Islands,Velanai,2.1C,provincial
9004,PUNKUDUTIVU SRI GANESA MAHA VIDYALAYAM,WARD 12 PUNGUDUTIVU,Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9005,PUNGUDUTIVU SRI SITHTHI VINAYAGAR MAHA VIDYALAYA,"WARD 5, PUNGUDUTIVU",Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9006,DELFT SAIVAPIRAGASA VIDYALAYAM,"WARD NO-04,DELFT",Northern,41.Jaffna,Islands,Delft,2.1C,provincial
9007,NAINATIVU SRI GANESA KANISTA M.V.,"WARD NO.06, NAINATIVU, JAFFNA.",Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9009,PUNGUDUTIVU KAMALAMBIKAI KANISTA VIDYALAYAM,"WARD NO 8, PUNGUDUTIVU.",Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9010,PUNGUDUTIVU SRI SUBRAMANIYA MAHALIR VIDYALAYAM,WARD NO 01 PUNGUDUTIVU,Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9011,DELFT R.C LADIES COLLEGE,"WARD NO 09,",Northern,41.Jaffna,Islands,Delft,2.1C,provincial
9012,DELFT MAVILITHTHURAI R.C.T.M.VIDYALAYAM,"WARD NO-13, DELFT,",Northern,41.Jaffna,Islands,Delft,4.Type3,provincial
9013,DELFT SUBRAMANIYA VIDYALAYAM,"WARD NO-14, DELFT EAST, DELFT.",Northern,41.Jaffna,Islands,Delft,4.Type3,provincial
9016,DELFT MANKAYATKARASI VIDYALAYAM,"WARD NO-01, DELFT.",Northern,41.Jaffna,Islands,Delft,4.Type3,provincial
9017,DELFT SRISKANTHA VIDYALAYAM,"WARD NO-04, DELFT",Northern,41.Jaffna,Islands,Delft,4.Type3,provincial
9018,DELFT SEEKIRIYANPALLAM G.T.M. VIDYALAYAM,"WARD NO-06, DELFT.",Northern,41.Jaffna,Islands,Delft,3.Type2,provincial
9019,NAINATIVU SRI NAGAPOOSHANY VIDYALAYAM,WARD NO 02 NAINATIVU,Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9020,PUNGUDUTIVU WEST A.M.T.M.V.,"WARD NO.03, PUNGUDUTIVU.",Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9022,PUNGUDUTIVU RAJARAJESWARY TAMIL MIXED VIDYALAYAM,WARD NO 10 PUNGUDUTIVU,Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9026,PUNGUDUTIVU THIRUNAVUKARASU VIDYALAYAM,"URATHIVU, PUNGUDUTIVU.",Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9027,PUNGUDUTIVU ROMAN CATHOLIC TAMIL MIXED SCHOOL,WARD NO 2 PUNGUDUTIVU,Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9028,PUNGUDUTIVU DURAISUWAMY VIDYALAYAM,WARD NO 4 PUNGUDUTIVU,Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9029,VELANAI CENTRAL COLLEGE,"VELANAI WEST, VELANAI",Northern,41.Jaffna,Islands,Velanai,1.1AB,provincial
9030,KAYTS ST. ANTONY'S COLLEGE,KAYTS,Northern,41.Jaffna,Islands,Kayts,1.1AB,provincial
9031,MANDAITIVU MAHA VIDYALAYAM,"WARD NO -06, MANDAITIVU",Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9032,KARAMPON SANMUKANATHA MAHA VIDYALAYAM,KARAMPON WEST KAYTS,Northern,41.Jaffna,Islands,Kayts,3.Type2,provincial
9033,VELANAI EAST MAHA VIDYALAYAM,"WARD N0 4, VELANAI",Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9034,KARAMPON LITTLE'S FLOWERS GIRLS MAHA VIDYALAYAM,KARAMPON KAYTS,Northern,41.Jaffna,Islands,Kayts,2.1C,provincial
9035,ANALAITIVU SATHASIVA MAHA VIDYALAYAM,"WARD NO-5, ANALAITIVU",Northern,41.Jaffna,Islands,Kayts,3.Type2,provincial
9036,NARANTHANAI R.C.M.VIDYALAYAM,NARANTHANAI CENTRE KAYTS,Northern,41.Jaffna,Islands,Kayts,3.Type2,provincial
9037,SARAVANAI NAGESWARY MAHA VIDYALAYAM,SARAVANAI WEST VELANAI,Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9038,VELANAI SAIVAPRAGASA VIDYALAYAM,VELANAI,Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9039,VELANAI SARASWATHY VIDYALAYAM,VELANAI EAST,Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9040,KAYTS ST. MARY'S R.C GIRLS' VIDYALAYAM,"ST.MARYS LANE, KAYTS",Northern,41.Jaffna,Islands,Kayts,2.1C,provincial
9041,ALLAIPIDDY PARASAKTHY VIDYALAYAM,WARD NO-2 ALLAIPIDDY,Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9042,VELANAI WEST NADARAJA VIDYALAYAM,VELANAI WEST VALANAI,Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9043,NARANTHANAI GANESHA VIDYALAYAM,NARANTHANAI NORTH KAYTS,Northern,41.Jaffna,Islands,Kayts,3.Type2,provincial
9044,MANDAITIVU R.C. VIDYALAYAM,"WARD NO.05, MANDAITIVU.",Northern,41.Jaffna,Islands,Velanai,3.Type2,provincial
9045,ANALAITIVU SOUTH G.T.M.S.,"WARD NO-01, ANALAITIVU SOUTH ANALAITIVU",Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9046,ANALAITIVU VADALOOR G.T.M.VIDYALAYAM,WARD.NO-04 ANALAITIVU,Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9047,SARAVANAI SINNAMADU R.C.T.M.SCHOOL,SARAVANAI WEST VELANAI,Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9048,VELANAI SOUTH IYANAR VIDYALAYAM,"VELANAISOUTH, THURAIYOOR, VELANAI.",Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9049,KAYTS R.C.T.BOYS SCHOOL,"HOSPITAL RD, KAYTS",Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9050,THAMBADDY G.T.M.VIDYALAYAM,"NARANTHANAI NORTH WEST, THAMBADDY, KAYTS",Northern,41.Jaffna,Islands,Kayts,3.Type2,provincial
9052,MANKUMBAN GOVERMENT TAMIL MIXED SCHOOL,MANKUMBAN VELANAI,Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9053,SURUVIL R.C.T.M SCHOOL,SURUVIL SOUTH KAYTS,Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9054,PARUTHTHIYADAIPU KATHIRESHANANTHA VIDYALAYAM,PARUTHIYADAIPU KAYTS,Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9055,ALLAIPIDDY R.C.T.M.VIDYALAYAM,"WARD NO.02, ALLAIPIDDY.",Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9056,CHETTYPULAM G.T.M.SCHOOL,CHETTYPULAM VELANAI,Northern,41.Jaffna,Islands,Velanai,4.Type3,provincial
9057,MELINCHIMUNAI R.C.T.M.SCHOOL,"MELINCHIMUNAI, KAYTS",Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9061,ELUVAITIVU MURUGAVEL VIDYALAYAM,WARD NO-02 ELUVAITIVU,Northern,41.Jaffna,Islands,Kayts,3.Type2,provincial
9062,ELUVAITIVU R.C.T.M. SCHOOL,"WARD NO=0, ELUVAITIVU",Northern,41.Jaffna,Islands,Kayts,4.Type3,provincial
9063,KARAINAGAR HINDU COLLEGE,VALANTHALAI KARAINAGAR,Northern,41.Jaffna,Islands,Karainagar,1.1AB,provincial
9064,PANDATERUPPU GIRLS HIGH SCHOOL,PANDATERUPPU,Northern,41.Jaffna,Valikamam,Sandilipay,1.1AB,provincial
9065,VADDU HINDU COLLEGE,SITHTHANKERNY,Northern,41.Jaffna,Valikamam,Chankanai,1.1AB,provincial
9066,VICTORIA COLLEGE,"MAIN STREET, CHULIPURAM",Northern,41.Jaffna,Valikamam,Chankanai,1.1AB,provincial
9067,PANDATERIPPU HINDU COLLEGE,PANDATERUPPU,Northern,41.Jaffna,Valikamam,Sandilipay,2.1C,provincial
9068,KARAINAGAR YARLTON COLLEGE,"ALADY, KARAINAGAR",Northern,41.Jaffna,Islands,Karainagar,1.1AB,provincial
9069,ARALY HINDU COLLEGE,ARALY,Northern,41.Jaffna,Valikamam,Chankanai,3.Type2,provincial
9070,ARALY SARASWATHY MAHA VIDYALAYAM,ARALY SOUTH VADDUKODDAI,Northern,41.Jaffna,Valikamam,Chankanai,2.1C,provincial
9071,CHANKANAI SIVAPRAGASA M.V.,"VALLAI RD RD, CHANKANAI",Northern,41.Jaffna,Valikamam,Chankanai,1.1AB,provincial
9072,PANNAGAM MEIHANDAN M.V.,CHULIPURAM,Northern,41.Jaffna,Valikamam,Chankanai,2.1C,provincial
9073,CHULLIPURAM NORTH ARUMUGAM VIDYALAYAM,CHULLIPURAM NORTH CHULLIPURAM,Northern,41.Jaffna,Valikamam,Chankanai,3.Type2,provincial
9074,SUNTHARAMOORTHY NAYANAR VIDYALAYAM,KALAPOOMY KARAINAGAR,Northern,41.Jaffna,Islands,Karainagar,3.Type2,provincial
9075,MOOLAI SAIVAPRAGASA VIDYALAYAM,MOOLAI CHULIPURAM,Northern,41.Jaffna,Valikamam,Chankanai,3.Type2,provincial
9076,SILLALAI R.C.T.M.SCHOOL,SILLALAI PANDATERUPPU,Northern,41.Jaffna,Valikamam,Sandilipay,3.Type2,provincial
9077,VADDU CENTRAL COLLEGE,VADDU SOUTH WEST VADDUKODDAI,Northern,41.Jaffna,Valikamam,Chankanai,2.1C,provincial
9078,VADDU THIRUNAVUKKARASU VIDYALAYAM,"VADDU WEST, VADDUKODDAI",Northern,41.Jaffna,Valikamam,Chankanai,4.Type3,provincial
9079,VIJAVIL SAIVA VIDYALAYAM,KARAINAGAR,Northern,41.Jaffna,Islands,Karainagar,3.Type2,provincial
9080,PANDATERUPPU JACINTHA R.C.T.M SCHOOL,"FATIMA RD, PANDATHERUPPU",Northern,41.Jaffna,Valikamam,Sandilipay,3.Type2,provincial
