census_no,school_name,school_address,province,district,zone,education_division,school_type,category
23002,EREPOLA SRI MAHINDA V.,"EREPOLA, EHALIYAGODA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,1.1AB,provincial
23003,UDUWAKA SIDDHARTHA M.V.,"UDUWAKA, GETAHETHTHA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,2.1C,provincial
23004,NUGADANDA M.V.,"NUGADANDA, KALATUWAWA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,2.1C,provincial
23005,GETAHATTA ANURA M.V.,GETAHATTA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,2.1C,provincial
23006,EHELIYAGODA PRIMARY SCHOOL,EHELIYAGODA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,4.Type3,provincial
23007,EHELIYAGODA DHARMAPALA M.V.,EHELIYAGODA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,1.1AB,provincial
23008,SRI RAHULA V.,EHALIYAGODA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23009,IDDAMALGODA SENIOR SCHOOL,"IDDAMALGODA, GETAHETHTHA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23010,UDUMATHTHA MIHINDU M. V.,EHELIYAGODA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,2.1C,provincial
23011,KALUANDURA V.,"KALUANDURA, HEWAINNA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23012,ANDAGALA SUGATHA BUDDHI V.,EHELIYAGODA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23013,THORANAKADA DHARMARAJA V.,"THORANAKADA, EHELIYAGODA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23014,DIURUMPITIYA SAMAN V.,AWISSAWELLA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23015,DEIYAGALA V.,GETAHETTA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23016,PALEEGALA V.,EHELIYAGODA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23017,BOPATHTHA M.V.,"BOPTHTHA, GETAHATHTHA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,2.1C,provincial
23018,HEWAINNA KANDA V.,"HEWAINNA, AVISSAWELLA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23019,KARANDANA NORTH V.,KARANDANA NORTH- KALATUWAWA,Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,4.Type3,provincial
23020,KIRIPORUWA V.,"ERAPOLA, EHELIYAGODA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23021,MITIPOLA M.V.,"MITIPOLA, EHELIYAGODA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23022,RATNAPURA HIDURANGALA V.,"HIDURANGALA, KIRIELLA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
23023,WEWILA V.,"WEWILA, KALATUWAWA",Sabaragamuwa,91.Ratnapura,Ratnapura,Eheliyagoda,3.Type2,provincial
