census_no,school_name,school_address,province,district,zone,education_division,school_type,category
6002,SIDDHARTHA CENTRAL COLLEGE,BALAPITIYA,Southern,31.Galle,Ambalangoda,Balapitiya,1.1AB,provincial
6003,HEGALLA MAHA VIDYALAYA,"HEGALLA, KOSGODA",Southern,31.Galle,Ambalangoda,Balapitiya,2.1C,provincial
6004,KANDEGODA MAHA VIDYALAYA,AMBALANGODA,Southern,31.Galle,Ambalangoda,Balapitiya,2.1C,provincial
6005,AHUNGALLA RAJAPAKSHA MAHA VIDYALAYA,AHUNGALLA,Southern,31.Galle,Ambalangoda,Balapitiya,2.1C,provincial
6006,SRIPATHI M.V.,WATHUGEDARA,Southern,31.Galle,Ambalangoda,Balapitiya,2.1C,provincial
6008,AMPE K.V.,"AMPE, BALAPITIYA.",Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6009,BALAPITIYA KANISHTA VIDYALAYA,"GALLE RD, BALAPITIYA",Southern,31.Galle,Ambalangoda,Balapitiya,4.Type3,provincial
6010,HEENATIYA K.V.,"HEENATIYA, BALAPITIYA",Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6011,KATUWILA KANISHTA VIDYALAYA,KATUWILA AHUNGALLA,Southern,31.Galle,Ambalangoda,Balapitiya,4.Type3,provincial
6012,MADOOWA K.V.,MADOOWA BALAPITIYA,Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6013,PATHIRAJA MAHA VIDYALAYA,URAGASMANHANDIYA.,Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6014,RANDOMBA DAMNADA VIDYALAYA,AMBALANGODA,Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6015,SIRI ABHAYATISSA MAHA VIDYALAYA,"SEENIGODA, WATHUGEDARA.",Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6016,SIRI ABHAYA TISSA KANISHTA VIDYALAYA,WATHUGEDARA,Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6017,WATHURAWELA GAMINI K.V.,"WATHURAWELA, KOSGODA.",Southern,31.Galle,Ambalangoda,Balapitiya,3.Type2,provincial
6018,SRI WIMALASARA K.V.,MAHAKARAWA BALAPITIYA,Southern,31.Galle,Ambalangoda,Balapitiya,4.Type3,provincial
6019,AHUNGALLA NEW MODEL SCHOOL,"GALWEHERA, AHUNGALLA",Southern,31.Galle,Ambalangoda,Balapitiya,4.Type3,provincial
6033,ALUTHWALA MAHA WIDYALAYA,ALUTHWALA,Southern,31.Galle,Ambalangoda,Ambalangoda,2.1C,provincial
6034,BATAPOLA M.M.V.,BATAPOLA,Southern,31.Galle,Ambalangoda,Ambalangoda,1.1AB,provincial
6037,GRAMANI M.V.,KALUWADUMULLA AMBALANGODA,Southern,31.Galle,Ambalangoda,Ambalangoda,2.1C,provincial
6038,NINDANA M.V.,NINDANA BATAPOLA,Southern,31.Galle,Ambalangoda,Ambalangoda,2.1C,provincial
6039,AMBALANGODA PRAJAPATHI GOTHAMI BALIKA M.V.,AMBALANGODA,Southern,31.Galle,Ambalangoda,Ambalangoda,1.1AB,provincial
6040,GONAPINUWALA SARALANKARA M.V.,GONAPINUWALA,Southern,31.Galle,Ambalangoda,Ambalangoda,1.1AB,provincial
6041,TELEKADA MAHA VIDYALAYA,GINIMALLAGAHA,Southern,31.Galle,Galle,Baddegama,3.Type2,provincial
6042,BERATHUDUWA K.V.,"BERATHUDUWA, GONAPINUWALA",Southern,31.Galle,Ambalangoda,Ambalangoda,4.Type3,provincial
6044,GINIMELLAGAHA K.V.,GINIMELLAGAHA,Southern,31.Galle,Galle,Baddegama,3.Type2,provincial
6046,SHASTHRALOKA K.V.,"KARUWALABEDDA, MEETIYAGODA.",Southern,31.Galle,Ambalangoda,Ambalangoda,4.Type3,provincial
6047,KIRALAGAHAWELA P.V.,"KIRALAGAHAWELA, MEETIYAGODA",Southern,31.Galle,Ambalangoda,Ambalangoda,4.Type3,provincial
6048,KIRIBATHAWILA K.V.,"DUNWATTHA, BADDEGAMA",Southern,31.Galle,Galle,Baddegama,3.Type2,provincial
6049,MAJUWANA K.V.,"MAJUWANA, KERADEWALA",Southern,31.Galle,Galle,Baddegama,4.Type3,provincial
6050,POLWATTA SRI BUDDHADATHTHA MODEL SCHOOL,"POLAWATTA, AMBALANGODA",Southern,31.Galle,Ambalangoda,Ambalangoda,4.Type3,provincial
6051,WATHURAWILA DHARMAPALA K.V.,BATAPOLA,Southern,31.Galle,Ambalangoda,Ambalangoda,4.Type3,provincial
