census_no,school_name,school_address,province,district,zone,education_division,school_type,category
8318,KETHSIRIGAMA M.V.,"HAMLET 1,2 LEFT BANK BERALIHELA THISSAMAGARAMA",Uva,82.Moneragala,Thanamalwila,Thanamalwila,3.Type2,provincial
21002,EKIRIYANKUMBURA M.V.,"EKIRIYANKUMBURA, BIBLA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21003,PETHIYAGODA M.V.,"HEWANWATHTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21004,RIDEEMALIYADDA M.M.V.,"RIDEEMALIYADDA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21005,KURUVITHENNA M.V.,"KURUVITHENNA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21006,ARAWA M.V.,"ARAWA,BADULLA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21007,ALUKATIYAWA P.S.,"ALUKATIYAWA, MAPAKADAWAWA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21008,URANIYA K.V.,"URANIYA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21009,KANDEGAMA M.V.,"KANDEGAMA, RIDEEMALIYADDA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21010,KUDALUNUKA K.V.,"YALWELA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21011,NAGADEEPA K.V.,"NAGADEEPAGAMA, URANIYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21012,DEHIGAMA M.V.,"DEHIGAMA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21013,MAHAGAMA M.V.,"KUKUVITHENNA, MAHIYANAGNA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
