census_no,school_name,school_address,province,district,zone,education_division,school_type,category
1,MODARA DE LA SALLE COLLEGE,"MODARA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,1.1AB,provincial
2,MODARA ANANDA M.M.V.,"SRI PANCHANANDA MW, MODARA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,2.1C,provincial
3,MODARA ST. ANTHONY'S B.M.V.,"MODARA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,2.1C,provincial
4,KOTAHENA KUMARA V.,"KOTAHENA, COLOMBO 13",Western,11.Colombo,Colombo,Colombo North,2.1C,provincial
5,ST. JOHN'S M.V.,"64, CENTER RD, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
6,KOTAHENA ST. LUCIA'S COLLEGE,"KOTAHENA, COLOMBO 13",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
7,KOTAHENA CATHEDRAL BOYS COLLEGE,"82, KOTAHENA ST, KOTAHENA, COLOMBO 13",Western,11.Colombo,Colombo,Colombo North,4.Type3,provincial
8,KOTAHENA PRESIDENT'S COLLEGE,"ALWIS PLACE KOTAHENA, COLOMBO 13",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
10,MODARA SRI MEDHANANDA V.,"ST. JAME'S STREET, MODARA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
11,MODARA ST. JOHN'S VIDYALAYA,"MODARA STREET, MODARA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
12,MATTAKKULIYA AVE MARIA V.,"MATTAKKULIYA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
13,SRI SANGHABODHI M.V.,"GRANDPASS, COLOMBO 14",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
14,BLOEMENDHAL SINHALA V.,"SIRIMAVO BANDARANAYAKA MW, COLOMBO 14",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
16,KOTAHENA SRI GUNANANDA V.,"JINANANDA MW, KOTAHENA, COLOMBO 13",Western,11.Colombo,Colombo,Colombo North,4.Type3,provincial
17,THOTAWATTA METHODIST VIDYALAYA,"152, CHURCH RD, MATTAKKULIYA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,4.Type3,provincial
18,KOTAHENA ROMAN CATHOLIC B.V.,"WASALA RD, KOTAHENA, COLOMBO 13",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
19,MODARA ST. JAME'S P.V.,"261/1, MUTHUWELLA MW, MODARA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,4.Type3,provincial
20,MAHAWATTA ST. ANTHONY'S SINHALA V.,"299, JAYANTHA MALLIMARACHCHI MW, MAHAWATTA, COLOMBO 14",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
21,MADAMPITIYA ST. ANTHONY'S B.P.V.,"MADAMPITIYA, MODARA, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,4.Type3,provincial
22,AGAMETHI VIDYALAYA,"BLOEMENDHAL RD, COLOMBO 15",Western,11.Colombo,Colombo,Colombo North,3.Type2,provincial
24,SRI SANGARAJA M.M.V.,"SANGARAJA MW, COLOMBO 10",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
25,MAHABODHI M.V.,"43, FOSTER LANE, COLOMBO 10",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
26,DEMATAGODA RAJASINGHE M.V.,"BASELINE RD, DEMATAGODA, COLOMBO 09",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
27,MIHINDU MAWATHA SINHALA M.V.,"MIHINDU MW, COLOMBO 12",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
28,SIRI SARIPUTHTHA M.V.,"VITHANAGE MW, COLOMBO 02",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
29,VIJAYABA M.V.,"STACE RD, COLOMBO 14",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
30,GRANDPASS ST. JOSEPH'S B.M.V.,"ST. JOSEPH'S STREET, GRANDPASS, COLOMBO 14",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
31,GRANDPASS ST. JOSEPH'S BOYS VIDYALAYA,"ST. JOSEPH'S PLACE, GRANDPASS, COLOMBO 14",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
32,WOLFENDHAL B.M.V.,"02, VIVEKANANDA HILL, COLOMBO 13",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
33,DEMATAGODA ST. ANTHONY'S B.M.V.,"ST. ANTHONY'S MW, DEMATAGODA, COLOMBO 09",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
34,CLIFTON B.V.,"MALIGAKANDA RD, COLOMBO 10",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
35,HOLY ROSARY R.C.SINHALA V.,"56, CHURCH STREET, COLOMBO 02",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
36,VIHARAMAHA DEVI B.V.,"DEENS RD, COLOMBO 10",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
37,HEMAMALI B.V.,"34, SRI SADDHARMA MW, COLOMBO 10",Western,11.Colombo,Colombo,Colombo Central,2.1C,provincial
38,ST. MARY'S VIDYALAYA,"VIVEKANANDA KANDA RD, COLOMBO 13",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
39,HARWARD VIDYALAYA,"DAM STREET, COLOMBO 12",Western,11.Colombo,Colombo,Colombo Central,4.Type3,provincial
40,JAYANTHI VIDYALAYA,"SUWARNA CHAIYTHYA RD, COLOMBO 14",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
41,KOTAHENA SINHALA K.V.,"200, MAHA VIDYALAYA MW, COLOMBO 13",Western,11.Colombo,Colombo,Colombo Central,4.Type3,provincial
42,A.E.GUNASINGHA V.,COLOMBO 12,Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
43,ST. SEBASTIAN SINHALA V.,"SILVER SMITH LANE, COLOMBO 12",Western,11.Colombo,Colombo,Colombo Central,4.Type3,provincial
44,SIR BARON JAYATHILAKA V.,"MALIGAWATTA, COLOMBO 10",Western,11.Colombo,Colombo,Colombo Central,3.Type2,provincial
49,DEMATAGODA ST. MATHEWS COLLEGE,"DEMATAGODA, COLOMBO 09",Western,11.Colombo,Colombo,Borella,2.1C,provincial
52,DEMATAGODA ST. JOHN'S COLLEGE,"DEMATAGODA, COLOMBO 09",Western,11.Colombo,Colombo,Borella,2.1C,provincial
53,SEEVALI M.M.V.,"SEEVALI LANE, COLOMBO 08",Western,11.Colombo,Colombo,Borella,2.1C,provincial
54,SUSAMAYAWARDHANA M.V.,"AUSTIN PL, COLOMBO 08",Western,11.Colombo,Colombo,Borella,2.1C,provincial
55,ANURUDDHA B.V.,"BASELINE RD, COLOMBO 09",Western,11.Colombo,Colombo,Borella,2.1C,provincial
56,MAHINDA VIDYALAYA,"ANANDA MW, COLOMBO 10",Western,11.Colombo,Colombo,Borella,4.Type3,provincial
57,COLOMBO YASODARA B.V.,"KYNSEY RD, COLOMBO 08",Western,11.Colombo,Colombo,Borella,1.1AB,provincial
58,PRESBYTEERIAN GIRL'S SCHOOL,"REGENT ST, COLOMBO 10",Western,11.Colombo,Colombo,Borella,2.1C,provincial
59,RATHNAWALI B.M.V.,"PARK AVENUE, COLOMBO 08",Western,11.Colombo,Colombo,Borella,2.1C,provincial
61,ALL SAINTS' B.M.V.,"ANANDA RAJAKARUNA MW, COLOMBO 10",Western,11.Colombo,Colombo,Borella,2.1C,provincial
62,VELUWANA COLLEGE,COLOMBO-09,Western,11.Colombo,Colombo,Borella,1.1AB,provincial
63,SRI SANGHAMITHTHA B.V.,"62, ANANDA RAJAKARUNA MW, COLOMBO 10",Western,11.Colombo,Colombo,Borella,4.Type3,provincial
64,COLOMBO ASOKA V.,COLOMBO 10,Western,11.Colombo,Colombo,Borella,1.1AB,provincial
65,C.W.W.KANNANGARA V.,"DR. DENISTER DE SILVA MW, COLOMBO 08",Western,11.Colombo,Colombo,Borella,1.1AB,provincial
67,NARAHENPITA SUJATHA B.V.,"NARAHENPITA, COLOMBO 05",Western,11.Colombo,Colombo,Colombo South,1.1AB,provincial
68,ARETHUSA V.,"DAYA RD, COLOMBO 06",Western,11.Colombo,Colombo,Colombo South,3.Type2,provincial
70,MAHAMATHYA V.,"POLHENGODA, COLOMBO 05",Western,11.Colombo,Colombo,Colombo South,3.Type2,provincial
71,SRI SADDHARMODAYA M.V.,"POORWARAMA RD, KIRULAPONE, COLOMBO 05",Western,11.Colombo,Colombo,Colombo South,3.Type2,provincial
72,S.W.R.D. BANDARANAYAKE VIDYALAYA,"GOTHAMI RD, COLOMBO 08",Western,11.Colombo,Colombo,Colombo South,3.Type2,provincial
73,THIMBIRIGASYAYA VIDYATHILAKA V.,"THIMBIRIGASYAYA, COLOMBO 05",Western,11.Colombo,Colombo,Colombo South,3.Type2,provincial
76,DUDLEY SENANAYAKA V.,"PARK RD, COLOMBO 05",Western,11.Colombo,Colombo,Colombo South,2.1C,provincial
82,ST. ANTHONY'S B.M.V.,"ST. ANTHONY'S MW, COLOMBO 03",Western,11.Colombo,Colombo,Colombo South,2.1C,provincial
83,WELLAWATTA ST. CLARE'S B.M.V.,"1ST CHAPEL LANE, COLOMBO 06",Western,11.Colombo,Colombo,Colombo South,1.1AB,provincial
84,BAMBALAPITIYA LINDSEY B.V.,"GALLE RD, COLOMBO 03",Western,11.Colombo,Colombo,Colombo South,1.1AB,provincial
87,ST. MARY'S B.M.V.,"ALWIS PLACE, COLOMBO 03",Western,11.Colombo,Colombo,Colombo South,2.1C,provincial
88,ST. MICHAEL'S COLLEGE,"KOLLUPITYA, COLOMBO 03",Western,11.Colombo,Colombo,Colombo South,3.Type2,provincial
90,ST. MARY'S SINHALA MIXED VIDYALAYA,"R.A.DE MEL MW, COLOMBO 04",Western,11.Colombo,Colombo,Colombo South,3.Type2,provincial
93,"S.DE.S. JAYASINGHE CENTRAL COLLEGE, DEHIWALA","ANAGARIKA DHARMAPALA MW, KARAGAMPITIYA, DEHIWELA",Western,11.Colombo,Piliyandala,Dehiwala,1.1AB,provincial
94,NUGEGODA ST. JOHN'S COLLEGE,"HIGHLEVEL RD, NUGEGODA",Western,11.Colombo,Piliyandala,Dehiwala,1.1AB,provincial
96,DEHIWALA HOLY FAMILY CONVENT,"100, GALLE RD, DEHIWALA",Western,11.Colombo,Piliyandala,Dehiwala,1.1AB,provincial
97,KALUBOWILA BUDDHAGHOSHA M.V.,"KALUBOWILA, DEHIWALA",Western,11.Colombo,Piliyandala,Dehiwala,3.Type2,provincial
